Province_Code,Province_Name,District_Code,District_Name,DSD_Code,DSD_Name,GND_Code,GND_Name,AG_0_14,AG_15_59,AG_60_64,AG_65_and_above,Male,Female,Total,Occupied_Housing_Units,Poverty_Percentage,Unemployment_Rate,Road_Density,Road_Length
1,Western,11,Colombo,36,Kesbewa,275,Honnanthara South,684,3092,311,840,2296,2631,4927,1426,10.72,5.01,10.77582286,12.30604186
1,Western,11,Colombo,18,Padukka,180,Horagala East,417,1445,127,266,1108,1147,2255,649,14.94,6.4,4.487817522,16.23803032
1,Western,11,Colombo,18,Padukka,175,Horagala West,326,1051,103,211,830,861,1691,477,18.23,7.35,2.807697635,17.38157421
1,Western,11,Colombo,18,Padukka,160,Horakandawala,453,1633,124,296,1233,1273,2506,682,16.79,7.92,3.008513419,4.580991965
1,Western,11,Colombo,36,Kesbewa,330,Horathuduwa,293,1207,132,351,950,1033,1983,553,12.18,6.15,6.873200059,4.131196267
1,Western,11,Colombo,3,Colombo,135,Hunupitiya,637,2454,217,437,1909,1836,3745,860,13.68,4.41,15.08764134,11.57314179
1,Western,11,Colombo,3,Colombo,170,Ibbanwala,177,1476,125,351,1117,1012,2129,744,8.78,2.52,14.96382661,11.34970351
1,Western,11,Colombo,33,Moratuwa,115,Idama,351,1674,162,683,1288,1582,2870,777,17.48,3.77,12.3611821,6.31026588
1,Western,11,Colombo,9,Kaduwela,30,Ihala Bomiriya,710,3166,264,629,2289,2480,4769,1310,11.99,6.22,8.90774913,13.41001618
1,Western,11,Colombo,18,Padukka,215,Ihala Bope,324,1100,111,228,876,887,1763,506,15.25,6.28,3.081110549,7.369457529
1,Western,11,Colombo,15,Seethawaka,210,Ihala Hanwella North,244,980,88,243,741,814,1555,422,22.09,7.24,7.624138152,10.15897464
1,Western,11,Colombo,15,Seethawaka,270,Ihala Hanwella South,120,592,54,149,433,482,915,282,15.27,4.32,5.297522194,4.598765452
1,Western,11,Colombo,15,Seethawaka,70,Ihala Kosgama North,629,1990,152,359,1490,1640,3130,874,23.07,8.1,5.211968353,12.57192419
1,Western,11,Colombo,15,Seethawaka,115,Ihala Kosgama South,305,1012,80,237,769,865,1634,478,22.2,6.69,1.756879962,1.56399272
1,Western,11,Colombo,15,Seethawaka,305,Ilukovita,110,317,34,55,260,256,516,145,21.83,7.97,1.553601238,6.262660852
1,Western,11,Colombo,33,Moratuwa,155,Indibedda East,625,2298,216,354,1740,1753,3493,920,13.42,5.55,2.959007177,3.014038818
1,Western,11,Colombo,33,Moratuwa,130,Indibedda West,668,2614,240,449,1961,2010,3971,1061,12.86,5.26,9.485833543,4.091983231
1,Western,11,Colombo,12,Homagama,5,Jalthara,1663,6036,446,963,4427,4681,9108,2610,10.81,6.09,8.239571687,28.81871622
1,Western,11,Colombo,21,Maharagama,205,Jambugasmulla,361,2176,255,707,1559,1940,3499,1104,5.25,2.34,16.43396417,9.671610929
1,Western,11,Colombo,36,Kesbewa,350,Jamburaliya,700,2544,242,509,1919,2076,3995,1125,10.8,6.27,5.09182399,7.399553779
1,Western,11,Colombo,30,Dehiwala,65,Jayathilaka,652,2693,222,619,1994,2192,4186,1204,4.4,3.42,21.10652656,8.36736269
1,Western,11,Colombo,9,Kaduwela,240,Jayawadanagama,353,1476,145,476,1132,1318,2450,748,13.02,4.5,18.16584476,3.484789437
1,Western,11,Colombo,15,Seethawaka,280,Jayaweeragoda,422,1374,99,258,1067,1086,2153,627,20.06,7.06,4.317925001,5.925086553
1,Western,11,Colombo,3,Colombo,60,Jinthupitiya,1644,5899,534,1031,4582,4526,9108,2202,13.33,4.05,10.98115572,2.214664544
1,Western,11,Colombo,33,Moratuwa,105,Kadalana,521,2116,249,516,1600,1802,3402,961,13.98,4.21,9.054775193,4.05644016
1,Western,11,Colombo,15,Seethawaka,175,Kadugoda North,375,1090,106,252,863,960,1823,532,23.76,7.17,1.425216995,4.192211424
1,Western,11,Colombo,15,Seethawaka,225,Kadugoda South,386,1129,97,291,912,991,1903,517,26.73,8.92,1.559917123,5.024201339
1,Western,11,Colombo,9,Kaduwela,20,Kaduwela,609,2779,254,543,2102,2083,4185,1158,10.31,5.97,11.12388092,3.486268509
1,Western,11,Colombo,15,Seethawaka,255,Kahahena,298,950,92,231,736,835,1571,460,22.78,6.57,12.86735385,21.08611396
1,Western,11,Colombo,36,Kesbewa,365,Kahapola,711,2297,183,422,1782,1831,3613,975,12.42,7.7,3.19128119,5.508723592
1,Western,11,Colombo,15,Seethawaka,90,Kahatapitiya,249,785,49,155,612,626,1238,343,22.92,8.53,2.33116644,5.512659395
1,Western,11,Colombo,12,Homagama,370,Kahathuduwa East,430,1692,139,293,1240,1314,2554,717,11.36,6.38,22.01390854,15.67132421
1,Western,11,Colombo,12,Homagama,365,Kahathuduwa North,699,2465,169,416,1867,1882,3749,1115,8.96,5.3,6.23050159,9.775401662
1,Western,11,Colombo,12,Homagama,375,Kahathuduwa South,578,2477,211,433,1805,1894,3699,1055,10.08,5.83,9.745573562,13.44386942
